x,y
-0.520833768,10.86805575
-0.868055969,11.56250015
-0.868055969,11.90972235
-1.215278171,11.90972235
-1.215278171,11.56250015
-0.868055969,12.25694455
-0.868055969,12.60416675
-1.215278171,12.60416675
-1.215278171,12.25694455
-0.173611566,11.56250015
-0.173611566,11.90972235
-0.520833768,11.90972235
-0.520833768,11.56250015
-0.173611566,12.25694455
-0.173611566,12.60416675
-0.520833768,12.60416675
-0.520833768,12.25694455
-2.256944776,12.95138896
-2.256944776,13.29861116
-2.604166977,13.29861116
-2.604166977,12.95138896
-2.256944776,13.64583336
-2.256944776,13.99305556
-2.604166977,13.99305556
-2.604166977,13.64583336
-1.562500373,12.95138896
-1.562500373,13.29861116
-1.909722574,13.29861116
-1.909722574,12.95138896
-1.562500373,13.64583336
-1.562500373,13.99305556
-1.909722574,13.99305556
-1.909722574,13.64583336
-2.256944776,14.34027776
-2.256944776,14.68749996
-2.604166977,14.68749996
-2.604166977,14.34027776
-2.256944776,15.03472123
-2.256944776,15.38194437
-2.604166977,15.38194437
-2.604166977,15.03472123
-1.562500373,14.34027776
-1.562500373,14.68749996
-1.909722574,14.68749996
-1.909722574,14.34027776
-1.562500373,15.03472123
-1.562500373,15.38194437
-1.909722574,15.38194437
-1.909722574,15.03472123
-0.868055969,12.95138896
-0.868055969,13.29861116
-1.215278171,13.29861116
-1.215278171,12.95138896
-0.868055969,13.64583336
-0.868055969,13.99305556
-1.215278171,13.99305556
-1.215278171,13.64583336
-0.173611566,12.95138896
-0.173611566,13.29861116
-0.520833768,13.29861116
-0.520833768,12.95138896
-0.173611566,13.64583336
-0.173611566,13.99305556
-0.520833768,13.99305556
-0.520833768,13.64583336
-0.868055969,14.34027776
-0.868055969,14.68749996
-1.215278171,14.68749996
-1.215278171,14.34027776
-0.868055969,15.03472123
-0.868055969,15.38194437
-1.215278171,15.38194437
-1.215278171,15.03472123
-0.173611566,14.34027776
-0.173611566,14.68749996
-0.520833768,14.68749996
-0.520833768,14.34027776
-0.173611566,15.03472123
-0.173611566,15.38194437
-0.520833768,15.38194437
-0.520833768,15.03472123
-5.034722388,15.72916657
-5.034722388,16.0763897
-5.381944589,16.0763897
